Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2021,1,Ciutat Vella,1,el Raval,1,13828.66
2021,1,Ciutat Vella,1,el Raval,2,11247.3
2021,1,Ciutat Vella,1,el Raval,3,11638.83
2021,1,Ciutat Vella,1,el Raval,4,13688.8
2021,1,Ciutat Vella,1,el Raval,5,12037.71
2021,1,Ciutat Vella,1,el Raval,6,12705.98
2021,1,Ciutat Vella,1,el Raval,7,12374.65
2021,1,Ciutat Vella,1,el Raval,8,9469.15
2021,1,Ciutat Vella,1,el Raval,9,12434.59
2021,1,Ciutat Vella,1,el Raval,10,11079.75
2021,1,Ciutat Vella,1,el Raval,11,10053.43
2021,1,Ciutat Vella,1,el Raval,12,13224.75
2021,1,Ciutat Vella,1,el Raval,13,13394.05
2021,1,Ciutat Vella,1,el Raval,14,12548.04
2021,1,Ciutat Vella,1,el Raval,15,13049.12
2021,1,Ciutat Vella,1,el Raval,16,12046.93
2021,1,Ciutat Vella,1,el Raval,17,11267.42
2021,1,Ciutat Vella,1,el Raval,18,12243.27
2021,1,Ciutat Vella,1,el Raval,19,12026.21
2021,1,Ciutat Vella,1,el Raval,20,18512.74
2021,1,Ciutat Vella,1,el Raval,21,18061.4
2021,1,Ciutat Vella,2,el Barri Gòtic,22,18413.03
2021,1,Ciutat Vella,2,el Barri Gòtic,23,18922.11
2021,1,Ciutat Vella,2,el Barri Gòtic,25,17734.04
2021,1,Ciutat Vella,2,el Barri Gòtic,26,18527.06
2021,1,Ciutat Vella,2,el Barri Gòtic,27,16857.24
2021,1,Ciutat Vella,2,el Barri Gòtic,28,15656.09
2021,1,Ciutat Vella,2,el Barri Gòtic,29,14398.84
2021,1,Ciutat Vella,2,el Barri Gòtic,30,14058.77
2021,1,Ciutat Vella,2,el Barri Gòtic,31,14545.08
2021,1,Ciutat Vella,3,la Barceloneta,32,19111.84
2021,1,Ciutat Vella,3,la Barceloneta,33,16234.42
2021,1,Ciutat Vella,3,la Barceloneta,34,16642.38
2021,1,Ciutat Vella,3,la Barceloneta,35,16353.61
2021,1,Ciutat Vella,3,la Barceloneta,36,16821.22
2021,1,Ciutat Vella,3,la Barceloneta,37,16657.65
2021,1,Ciutat Vella,3,la Barceloneta,38,15170.19
2021,1,Ciutat Vella,3,la Barceloneta,39,16748.6
2021,1,Ciutat Vella,3,la Barceloneta,40,16612.03
2021,1,Ciutat Vella,3,la Barceloneta,41,15113.2
2021,1,Ciutat Vella,3,la Barceloneta,42,16901.41
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,22829.99
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20491.94
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,17998.21
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,15645.74
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,16839.57
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,13512.75
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,16188.65
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17116.65
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,15107.48
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,22374.82
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,15669.94
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,17143.82
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,21583.67
2021,2,Eixample,5,el Fort Pienc,1,21928.54
2021,2,Eixample,5,el Fort Pienc,2,22801.09
2021,2,Eixample,5,el Fort Pienc,3,25777.79
2021,2,Eixample,5,el Fort Pienc,4,18291.19
2021,2,Eixample,5,el Fort Pienc,5,24810.48
2021,2,Eixample,5,el Fort Pienc,6,25180
2021,2,Eixample,5,el Fort Pienc,7,26330.31
2021,2,Eixample,5,el Fort Pienc,8,24073.25
2021,2,Eixample,5,el Fort Pienc,9,23731.07
2021,2,Eixample,5,el Fort Pienc,10,22127.45
2021,2,Eixample,5,el Fort Pienc,11,23439.49
2021,2,Eixample,5,el Fort Pienc,12,19259.12
2021,2,Eixample,5,el Fort Pienc,13,20566.71
2021,2,Eixample,5,el Fort Pienc,14,18882.12
2021,2,Eixample,5,el Fort Pienc,15,19156.04
2021,2,Eixample,5,el Fort Pienc,16,24821.46
2021,2,Eixample,5,el Fort Pienc,17,24325.44
2021,2,Eixample,5,el Fort Pienc,18,24135.86
2021,2,Eixample,5,el Fort Pienc,19,22695.88
2021,2,Eixample,5,el Fort Pienc,20,20450.06
2021,2,Eixample,6,la Sagrada Família,21,21971.61
2021,2,Eixample,6,la Sagrada Família,22,22243.23
2021,2,Eixample,6,la Sagrada Família,23,23608.52
2021,2,Eixample,6,la Sagrada Família,24,21253.82
2021,2,Eixample,6,la Sagrada Família,25,21477.76
2021,2,Eixample,6,la Sagrada Família,26,22774.15
2021,2,Eixample,6,la Sagrada Família,27,22165.8
2021,2,Eixample,6,la Sagrada Família,28,22123.51
2021,2,Eixample,6,la Sagrada Família,29,23315.37
2021,2,Eixample,6,la Sagrada Família,30,18615.55
2021,2,Eixample,6,la Sagrada Família,31,23425.54
2021,2,Eixample,6,la Sagrada Família,32,22772.21
2021,2,Eixample,6,la Sagrada Família,33,21740.5
2021,2,Eixample,6,la Sagrada Família,34,19856.41
2021,2,Eixample,6,la Sagrada Família,35,22602.39
2021,2,Eixample,6,la Sagrada Família,36,24541.15
2021,2,Eixample,6,la Sagrada Família,37,24283.19
2021,2,Eixample,6,la Sagrada Família,38,25398.24
2021,2,Eixample,6,la Sagrada Família,39,21753.29
2021,2,Eixample,6,la Sagrada Família,40,20145.2
2021,2,Eixample,6,la Sagrada Família,41,22128.98
2021,2,Eixample,6,la Sagrada Família,42,25001.54
2021,2,Eixample,6,la Sagrada Família,43,23462.59
2021,2,Eixample,6,la Sagrada Família,44,19517.25
2021,2,Eixample,6,la Sagrada Família,45,23127.56
2021,2,Eixample,6,la Sagrada Família,46,20739.87
2021,2,Eixample,6,la Sagrada Família,47,21447.64
2021,2,Eixample,6,la Sagrada Família,48,20685.52
2021,2,Eixample,6,la Sagrada Família,49,20693.82
2021,2,Eixample,6,la Sagrada Família,50,22263.44
2021,2,Eixample,6,la Sagrada Família,51,19715.82
2021,2,Eixample,6,la Sagrada Família,52,23787.6
2021,2,Eixample,6,la Sagrada Família,53,24240.71
2021,2,Eixample,6,la Sagrada Família,54,22513.3
2021,2,Eixample,7,la Dreta de l'Eixample,55,23720.08
2021,2,Eixample,7,la Dreta de l'Eixample,56,24468.82
2021,2,Eixample,7,la Dreta de l'Eixample,57,26765.67
2021,2,Eixample,7,la Dreta de l'Eixample,58,27273.38
2021,2,Eixample,7,la Dreta de l'Eixample,59,25535.22
2021,2,Eixample,7,la Dreta de l'Eixample,60,25787.2
2021,2,Eixample,7,la Dreta de l'Eixample,61,24403.74
2021,2,Eixample,7,la Dreta de l'Eixample,62,27970.37
2021,2,Eixample,7,la Dreta de l'Eixample,63,33053.14
2021,2,Eixample,7,la Dreta de l'Eixample,64,30871.77
2021,2,Eixample,7,la Dreta de l'Eixample,65,25679.09
2021,2,Eixample,7,la Dreta de l'Eixample,66,25018.1
2021,2,Eixample,7,la Dreta de l'Eixample,67,22655.61
2021,2,Eixample,7,la Dreta de l'Eixample,68,22475.87
2021,2,Eixample,7,la Dreta de l'Eixample,69,26947.31
2021,2,Eixample,7,la Dreta de l'Eixample,70,29435.69
2021,2,Eixample,7,la Dreta de l'Eixample,71,29421.84
2021,2,Eixample,7,la Dreta de l'Eixample,72,32190.12
2021,2,Eixample,7,la Dreta de l'Eixample,73,28860.3
2021,2,Eixample,7,la Dreta de l'Eixample,74,27984.21
2021,2,Eixample,7,la Dreta de l'Eixample,75,27180.13
2021,2,Eixample,7,la Dreta de l'Eixample,76,28871.74
2021,2,Eixample,7,la Dreta de l'Eixample,77,25367.36
2021,2,Eixample,7,la Dreta de l'Eixample,78,28109.52
2021,2,Eixample,7,la Dreta de l'Eixample,79,31450.25
2021,2,Eixample,7,la Dreta de l'Eixample,80,28634.46
2021,2,Eixample,7,la Dreta de l'Eixample,81,29273.94
2021,2,Eixample,7,la Dreta de l'Eixample,82,28784.01
2021,2,Eixample,7,la Dreta de l'Eixample,83,30410
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,26707.27
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,28386.48
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,29678.41
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,27611.14
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,29474.42
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,28107.41
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,23714.75
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,26138.28
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,23752.46
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,26264.39
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,25787.66
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,24715.61
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,24278.65
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,23317.72
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,24627.24
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,26706.29
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,26367.07
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,24508.18
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,28632.31
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,23044.45
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,27506.16
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,23047.36
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,106,28531.46
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,107,27748.4
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,108,29156.53
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,109,31254.49
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,110,24963.53
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,111,25499.02
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,112,31414.66
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,113,28553.28
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,114,24741.14
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,115,24182.1
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,116,29580.54
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,117,24631.45
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,118,27859.3
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,119,26424.08
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,120,25704.02
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,121,26605.91
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,122,27687.78
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,123,25811.24
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,124,26803.54
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,125,24048.87
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,126,25018.94
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,127,24181.67
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,128,22360.44
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,129,24134.05
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,130,34305.45
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,131,23833.79
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,132,25565.76
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,133,26500.72
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,134,23403.29
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,135,22528.32
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,136,25537.9
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,137,22242.7
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,138,24398.61
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,139,23259.7
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,140,24131.17
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,141,22273.26
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,142,21189.85
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,143,22847.79
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,144,26248.12
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,145,22204.24
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,146,22577.76
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,147,22512.39
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,148,25373.03
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,149,22320.38
2021,2,Eixample,10,Sant Antoni,150,20641.67
2021,2,Eixample,10,Sant Antoni,151,23128.97
2021,2,Eixample,10,Sant Antoni,152,24454.17
2021,2,Eixample,10,Sant Antoni,153,24132.9
2021,2,Eixample,10,Sant Antoni,154,19537.96
2021,2,Eixample,10,Sant Antoni,155,20605.27
2021,2,Eixample,10,Sant Antoni,156,22753.3
2021,2,Eixample,10,Sant Antoni,157,21321.39
2021,2,Eixample,10,Sant Antoni,158,22467.27
2021,2,Eixample,10,Sant Antoni,159,22087.8
2021,2,Eixample,10,Sant Antoni,160,25204.22
2021,2,Eixample,10,Sant Antoni,161,22212.74
2021,2,Eixample,10,Sant Antoni,162,21170.42
2021,2,Eixample,10,Sant Antoni,163,24844.52
2021,2,Eixample,10,Sant Antoni,164,23316.25
2021,2,Eixample,10,Sant Antoni,165,23044.59
2021,2,Eixample,10,Sant Antoni,166,21682.88
2021,2,Eixample,10,Sant Antoni,167,21391.83
2021,2,Eixample,10,Sant Antoni,168,22327.31
2021,2,Eixample,10,Sant Antoni,169,22085.51
2021,2,Eixample,10,Sant Antoni,170,21354.98
2021,2,Eixample,10,Sant Antoni,171,19893.91
2021,2,Eixample,10,Sant Antoni,172,20963.95
2021,2,Eixample,10,Sant Antoni,173,21998.82
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,1,17765.39
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,2,16647.56
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,3,15794.05
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,4,18838.06
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,5,17392.95
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,6,17244.97
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,7,17650.28
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,8,16320.04
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,9,18336.48
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,10,15802.24
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,11,14436.1
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,12,16613.12
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,13,15896.42
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,14,15202.71
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,15,16174.06
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,16,14742.97
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,17,14736.73
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,18,17438.27
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,19,16230.64
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,20,19561.47
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,21,18859.57
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,22,18874.92
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,23,16151.2
2021,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,24,16942.56
2021,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,25,14750.75
2021,3,Sants-Montjuïc,13,la Marina de Port,26,17116.96
2021,3,Sants-Montjuïc,13,la Marina de Port,27,19271
2021,3,Sants-Montjuïc,13,la Marina de Port,28,21118.47
2021,3,Sants-Montjuïc,13,la Marina de Port,29,16389.05
2021,3,Sants-Montjuïc,13,la Marina de Port,30,18555.69
2021,3,Sants-Montjuïc,13,la Marina de Port,31,17050.65
2021,3,Sants-Montjuïc,13,la Marina de Port,32,15898.12
2021,3,Sants-Montjuïc,13,la Marina de Port,33,13111.86
2021,3,Sants-Montjuïc,13,la Marina de Port,34,16869.82
2021,3,Sants-Montjuïc,13,la Marina de Port,35,18859.26
2021,3,Sants-Montjuïc,13,la Marina de Port,36,20425.16
2021,3,Sants-Montjuïc,13,la Marina de Port,37,20612.6
2021,3,Sants-Montjuïc,13,la Marina de Port,38,13273.53
2021,3,Sants-Montjuïc,13,la Marina de Port,39,12721.83
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,40,22561.51
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,41,19214.06
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,42,18925.92
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,43,20929.08
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,44,17908.09
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,45,20794.67
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,46,23196.73
2021,3,Sants-Montjuïc,15,Hostafrancs,47,19185.27
2021,3,Sants-Montjuïc,15,Hostafrancs,48,22978.76
2021,3,Sants-Montjuïc,15,Hostafrancs,49,20187.76
2021,3,Sants-Montjuïc,15,Hostafrancs,50,21307.64
2021,3,Sants-Montjuïc,15,Hostafrancs,51,16792.26
2021,3,Sants-Montjuïc,15,Hostafrancs,52,19064.32
2021,3,Sants-Montjuïc,15,Hostafrancs,53,18022.37
2021,3,Sants-Montjuïc,15,Hostafrancs,54,20443.33
2021,3,Sants-Montjuïc,15,Hostafrancs,55,19824.91
2021,3,Sants-Montjuïc,15,Hostafrancs,56,19388.36
2021,3,Sants-Montjuïc,16,la Bordeta,57,19479.2
2021,3,Sants-Montjuïc,16,la Bordeta,58,24406.2
2021,3,Sants-Montjuïc,16,la Bordeta,59,18377.35
2021,3,Sants-Montjuïc,16,la Bordeta,60,21308.47
2021,3,Sants-Montjuïc,16,la Bordeta,61,18979.99
2021,3,Sants-Montjuïc,16,la Bordeta,62,20053.86
2021,3,Sants-Montjuïc,16,la Bordeta,63,19261.57
2021,3,Sants-Montjuïc,16,la Bordeta,64,21125.89
2021,3,Sants-Montjuïc,16,la Bordeta,65,20309.17
2021,3,Sants-Montjuïc,16,la Bordeta,66,18611.72
2021,3,Sants-Montjuïc,16,la Bordeta,67,20288.26
2021,3,Sants-Montjuïc,16,la Bordeta,68,17741.64
2021,3,Sants-Montjuïc,16,la Bordeta,69,21550.89
2021,3,Sants-Montjuïc,17,Sants - Badal,70,17015.25
2021,3,Sants-Montjuïc,17,Sants - Badal,71,17322.56
2021,3,Sants-Montjuïc,17,Sants - Badal,72,17701.43
2021,3,Sants-Montjuïc,17,Sants - Badal,73,21180.88
2021,3,Sants-Montjuïc,17,Sants - Badal,74,20846.36
2021,3,Sants-Montjuïc,17,Sants - Badal,75,18425.22
2021,3,Sants-Montjuïc,17,Sants - Badal,76,18428.25
2021,3,Sants-Montjuïc,17,Sants - Badal,77,18062.54
2021,3,Sants-Montjuïc,17,Sants - Badal,78,18352.98
2021,3,Sants-Montjuïc,17,Sants - Badal,79,16809.94
2021,3,Sants-Montjuïc,17,Sants - Badal,80,19086.38
2021,3,Sants-Montjuïc,17,Sants - Badal,81,20059.13
2021,3,Sants-Montjuïc,17,Sants - Badal,82,22296.43
2021,3,Sants-Montjuïc,17,Sants - Badal,83,22111.78
2021,3,Sants-Montjuïc,17,Sants - Badal,84,21886.92
2021,3,Sants-Montjuïc,17,Sants - Badal,85,22168.28
2021,3,Sants-Montjuïc,18,Sants,86,25517.2
2021,3,Sants-Montjuïc,18,Sants,87,23484.09
2021,3,Sants-Montjuïc,18,Sants,88,19958.41
2021,3,Sants-Montjuïc,18,Sants,89,22840.14
2021,3,Sants-Montjuïc,18,Sants,90,25462.69
2021,3,Sants-Montjuïc,18,Sants,91,21778.67
2021,3,Sants-Montjuïc,18,Sants,92,21788.32
2021,3,Sants-Montjuïc,18,Sants,93,22180.6
2021,3,Sants-Montjuïc,18,Sants,94,23232.59
2021,3,Sants-Montjuïc,18,Sants,95,21214.06
2021,3,Sants-Montjuïc,18,Sants,96,19979.04
2021,3,Sants-Montjuïc,18,Sants,97,15623.98
2021,3,Sants-Montjuïc,18,Sants,98,17484.09
2021,3,Sants-Montjuïc,18,Sants,99,21271.26
2021,3,Sants-Montjuïc,18,Sants,100,19870.84
2021,3,Sants-Montjuïc,18,Sants,101,21143.97
2021,3,Sants-Montjuïc,18,Sants,102,20106.35
2021,3,Sants-Montjuïc,18,Sants,103,20441.87
2021,3,Sants-Montjuïc,18,Sants,104,19901.11
2021,3,Sants-Montjuïc,18,Sants,105,19947.32
2021,3,Sants-Montjuïc,18,Sants,106,20807.07
2021,3,Sants-Montjuïc,18,Sants,107,21219.25
2021,3,Sants-Montjuïc,18,Sants,108,20750.85
2021,3,Sants-Montjuïc,18,Sants,109,21911.65
2021,3,Sants-Montjuïc,18,Sants,110,22876.06
2021,3,Sants-Montjuïc,18,Sants,111,22949.91
2021,3,Sants-Montjuïc,18,Sants,112,23900.86
2021,3,Sants-Montjuïc,18,Sants,113,26695.14
2021,3,Sants-Montjuïc,18,Sants,114,25613.37
2021,3,Sants-Montjuïc,13,la Marina de Port,211,18045.22
2021,3,Sants-Montjuïc,13,la Marina de Port,212,16758.05
2021,3,Sants-Montjuïc,13,la Marina de Port,213,14238.68
2021,4,Les Corts,19,les Corts,1,24544.09
2021,4,Les Corts,19,les Corts,2,26992.79
2021,4,Les Corts,19,les Corts,3,26511.38
2021,4,Les Corts,19,les Corts,4,24415.77
2021,4,Les Corts,19,les Corts,5,24043.21
